Date,User,Tweet
2022-12-27 13:50:26+00:00,Haris96368298,@ruhutsitompul Cuk.... Belain ganjar lo? Ntar dipecat pindah ke partai mana? Mulai ngelawan sama ibu besar cuk? 🤣🤣🤣🤣
2022-12-27 13:49:24+00:00,nyehpong,"Ganjar-Erick adalah gabungan antara politisi senior dan tokoh muda yg memiliki visi membawa Indonesia lebih maju &amp; sejahtera.
#BangkitBersamaET https://t.co/aten4NfPM4"
2022-12-27 13:49:15+00:00,novitasya29,"@treasuremenfess Ternyata bener, Yoshi mirip pak Ganjar😭"
2022-12-27 13:48:41+00:00,colaa_colaaa,"@GanjaranApp Kebangkitan UMKM bahkan di tangan pak Ganjar mampu menyentuh angka 90,48% dan berhasil mendominasi sektor usaha Jateng"
2022-12-27 13:48:28+00:00,TkgFlash,"@alisyarief kayaknya pendapat mr. trimedya cukup mewakili, pak.
mengutip perkataan belio: ""apa prestasi ganjar?"""
2022-12-27 13:48:08+00:00,MakPemburuhoaxs,"@__RismaWidiono_ @ganjarpranowo Jokowi dg Ganjar nggak kompak ah....
Ngisin ngisini"
2022-12-27 13:47:01+00:00,nyehpong,"Ganjar dan Erick Thohir menuai dukungan yg tinggi dari publik karena memiliki rekam jejak yg positif.
#BangkitBersamaET https://t.co/OEYFcTW1ed"
2022-12-27 13:46:34+00:00,GunRomli,"DI BALIK FITNAH KEJI ""WANITA EMAS"" KEPADA KETUA KPU, GANJAR &amp; ERICK

 https://t.co/2WYJJsW8A3"
2022-12-27 13:46:25+00:00,JQENNLES,@GanjaranApp Senang sekali melihat pak Ganjar langsung gerak cepat dalam menangani kenaikan ini
2022-12-27 13:45:59+00:00,colaa_colaaa,@GanjaranApp Bersama dengan mahasiswa dari Papua pak Ganjar berbagi suasana bahagia dan hangat bersama
2022-12-27 13:45:42+00:00,runchrandar,@GanjaranApp Bangga sekali dengan pak Ganjar karena membuat postingan mengenai ucapan selamat hari Natal ini. Terima kasih sudah menghargai kami.
2022-12-27 13:45:04+00:00,colaa_colaaa,@GanjaranApp Bahkan para petani Jabar sangat optimis di era kepemimpinan pak Ganjar banyak perubahan yg terjadi
2022-12-27 13:44:21+00:00,colaa_colaaa,@GanjaranApp Berkat terus konsisten dalam upayanya pak Ganjar berhasil menekan angka kemiskinan yg ada
2022-12-27 13:44:17+00:00,PUANnews,"#Puan Maharani Berpeluang Jadi Presiden Indonesia Sedangkan Anies dan Ganjar Tidak, Ini Penjelasan Politisi Partai Gerindra - https://t.co/xfKGNhFFjr 
#PuanMaharani

https://t.co/wHht3w7GSo"
2022-12-27 13:43:58+00:00,SunGoKhonk,@BosPurwa Yaelah masss... Aku dukung ganjar aja ga sempet RT twit dia. Bocil amat otakmu liat jml dukungan lewat jml like dan RT. 🤣🤣🤣
2022-12-27 13:43:24+00:00,Didikjzzie,@Nuskinidotcom Beberapa waktu yg lalu lihat pak @ganjarpranowo satu panggung dg slank yg tengah beraksi. Ada baiknya pak ganjar hadir dan ikut nyanyi atau jogetlah di ‘konser2’spt ini juga: https://t.co/KZEHPGBcBz
2022-12-27 13:43:20+00:00,Cindy1nb,pak ganjar orang yang cocok gantikan pak de https://t.co/q1Eyp84mts #ganjarpranowo
2022-12-27 13:43:18+00:00,arisa_fadillah,"Ganjar aktif dalam kegiatan pencegahan dan deteksi dini kesehatan pada wanita dalam upaya mendukung gerakan Indonesia sehat 2025

Christmas | Hot &amp; Cold | Liverpool | Gakpo | Effort | CutiePie 2 is Coming | Dingin | Run BTS | #ตัวอย่างนิ่งเฮีย2you | #bbrightvc | #BETHESUNinJKT https://t.co/QL6xuRe33A"
2022-12-27 13:43:05+00:00,Bearbreand13,"@GanjaranApp sudah terbukti yaa gess, kalo pak ganjar bisa memajukan perekonomian jateng"
2022-12-27 13:42:12+00:00,AeldaAprilicia,"Berdasarkan hasil survei Poltracking 32,5% generasi milenial menginginkan duet Ganjar-Erick pada pemilu 2024

Christmas | Hot &amp; Cold | Liverpool | Gakpo | Effort | CutiePie 2 is Coming | Dingin | Run BTS | Fajar | #ตัวอย่างนิ่งเฮีย2you | #bbrightvc | #BETHESUNinJKT https://t.co/anfLzXegO2"
2022-12-27 13:41:38+00:00,LopezAgjcsl,Sumatera Selatan mendukung Kesejahteraan bisa terwujud asalkan kita bersama Pak  Ganjar  Kita warga Sumatera Selatan bisa sali #GanjarHebat
2022-12-27 13:41:38+00:00,aleg11201,Komunitas Milenial Sulawesi Selatan menyukai kinerja  Ganjar   Ganjar Membangun Negeri dan disambut baik dengan warga Sulawesi #GanjarHebat
