Date,User,Tweet
2022-12-28 01:40:34+00:00,rizardwn,"@QaillaAsyiqah @aniesbaswedan Mereka laper , mau disuruh suruh, mereka juga malu wajah nya ditutupi , takut ketahuan, karena nanti mereka tetap ingin menjadi warga yang mendukung yg benar .."
2022-12-28 01:39:41+00:00,marsonom97,@petruspasaribuu @aniesbaswedan @prabowo @Gerindra BACOT YAMAN DOBOL
2022-12-28 01:38:59+00:00,AbdulMalik2132,"Anies Baswedan antek koruptor!

#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/vdFUE7DiUM"
2022-12-28 01:38:57+00:00,BrinoMilanista,@petruspasaribuu @aniesbaswedan @prabowo @Gerindra Haduhhh wan Yohanes bokis lagi ini... 😅😅
2022-12-28 01:38:56+00:00,AbdulMalik2132,"Anies Baswedan pengkhianat bangsa!

#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/zxmBvITNcz"
2022-12-28 01:38:45+00:00,ResmawanKha,"@aniesbaswedan @feryfarhati Pendukungnya @aniesbaswedan, bilang klo beliau dcintai rakyat, ngakak gue mpe squirtin*, dah 24jam, penayangan 346ribu yang ♥️ gak nyampe 1.5% dari jumlah penayangan...kok bisa??? Buzzer kalian kurang kuotakah...minta dong ma @tatakujiyati kan gajihnya 24juta kemarin...🤣🤣🤣🤣🤣 https://t.co/6kzqtDyaTx"
2022-12-28 01:38:10+00:00,Ade1103,@putrafajar1945 @WagimanDeep_IX @aniesbaswedan Diviralin dl baru dikerjain sm si gabener 🤣🤣🤣 https://t.co/n3fRGCBhhQ
2022-12-28 01:38:03+00:00,SariYolanda_,"Bahaya!! Anies Baswedan punya niat ga bener, jangan sampai kita menjadi kacung mereka #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesNasdem #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/2qc9rdrWEG"
2022-12-28 01:38:03+00:00,Dwi_Puspita_,"Bahaya!! Anies Baswedan punya niat ga bener, jangan sampai kita menjadi kacung mereka #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesNasdem #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/5ZK9Tg8TWK"
2022-12-28 01:37:37+00:00,NisaSaputri02,"Anies Baswedan antek koruptor!

#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/gAKO9kk5Uk"
2022-12-28 01:37:35+00:00,NisaSaputri02,"Anies Baswedan pengkhianat bangsa!

#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/yCx5vRjWXj"
2022-12-28 01:36:58+00:00,YudiSet16452924,"Para buzzer rp telah menyebarkan dan memasang spanduk yg isinya menyerang Anies Baswedan dengan tujuan masyakat akan terpengaruh oleh spanduk² yg berbau ujaran kebencian dan provokatif, jika menemukan spanduk seperti ini sebaiknya copot saja, karena ini bukan pendidikan yg baik https://t.co/wNveceYhmd"
2022-12-28 01:36:50+00:00,Dedenopyana,"@Ade1103 @WagimanDeep_IX @aniesbaswedan Malu malu,malu malu,malu malu😂😂😂😂"
2022-12-28 01:36:10+00:00,ariessoes_io,@pakaipeci Yess 2024 Anies Baswedan 100%
2022-12-28 01:35:43+00:00,sintanazura,"Anies Baswedan gak bisa kerja !!!! 
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/ghGAX3ugwT"
2022-12-28 01:35:39+00:00,Muhamma83881739,@cakfan3 @panca66 Kalo Bang @aniesbaswedan In Syaa Allah berani Bang.
2022-12-28 01:35:33+00:00,setia_sbudi,"@BosPurwa @aniesbaswedan Tidak diragukan lagi konsep dan gagasan untuk kedepan, @aniesbaswedan adalah contoh tokoh yang benar2 menjunjung tinggi nilai2 PANCASILA"
2022-12-28 01:35:27+00:00,armanhermawan3,"Orang paling hebat di NKRI ini adalah Habib Riziq Shihab &amp; Anies Baswedan,semua kerusakan di NKRI,mulai dari aceh-papua,yang disalahkan dan dicaci mereka adalah berdua.
Meski saya bukan warga DKI,saya salut dg keduanya karena bersedia menjadi tertuduh atas semua kerusakan di NKRI"
2022-12-28 01:35:12+00:00,aci_lala,"Anies baswedan permainkan publik.
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/sdqMndrBZc"
2022-12-28 01:34:58+00:00,MasBolali,"Kadrun jgn dikasih kekuasaaann..runyamm negara
@aniesbaswedan !!"
2022-12-28 01:34:11+00:00,mirhan_sandy,@BosPurwa @suryobumi @aniesbaswedan Goodbener nih... Statementnya nonjok perut ET yg jemblung itu.. https://t.co/ArpfXQjFyu
2022-12-28 01:33:57+00:00,Rinaimoutz,"Anies Baswedan stress!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/XmwdXStUZp"
2022-12-28 01:33:32+00:00,_tukangrosok,@bungalotus25 @sapujagad_eyang @aniesbaswedan 👌
2022-12-28 01:33:25+00:00,Rinaimoutz,"Anies Baswedan pengkhianat budaya!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/g2yFkLXlbt"
2022-12-28 01:33:15+00:00,Rinaimoutz,"Anies Baswedan penyebar hoax!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/0x73H5PiYL"
2022-12-28 01:33:04+00:00,Rinaimoutz,"Anies Baswedan penipu!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/r1xr3R28SD"
2022-12-28 01:32:54+00:00,pisosumalim,@aniesbaswedan @feryfarhati Anies itu hebat. Waktu Gubernur TKD para guru² dipotong (tdk byr penuh alasan covid pd hal guru² ngajar dr rumah) bgmn dgn  TUGPP makmur. Inikah contoh pemimpin yg baik dan diidamkan???
2022-12-28 01:32:53+00:00,Okky74376638,@giginpraginanto Raja PHP....rakyat jadi bingung...ga heran kalo anies ke daerah bgt byk masyarakat berkumpul...karena sdh capek di PHP terus..desakan perubahan menajdi lebih baik itu mimpi atau kenyataan...??? ayukk kita dukung anies Baswedan....RI 1 2024.
2022-12-28 01:32:53+00:00,Rinaimoutz,"Anies Baswedan pengkhianat bangsa!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/pQ5jxh4TwX"
2022-12-28 01:32:42+00:00,Rinaimoutz,"Anies Baswedan antek koruptor!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/mXrxKVRORy"
2022-12-28 01:32:41+00:00,AmiPermata12,@Rinaimoutz  Anies Baswedan menyakiti hati rakyat!!!! 🤬🤬
2022-12-28 01:32:41+00:00,AmiPermata12,@king_leond  Anies Baswedan menyakiti hati rakyat!!!! 🤬🤬
2022-12-28 01:32:31+00:00,Rinaimoutz,"Anies Baswedan antek teroris!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/3YV4em9m5s"
2022-12-28 01:32:19+00:00,Rinaimoutz,"masyarakat jijik lihat Anies Baswedan !!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/NlH36hzr0r"
2022-12-28 01:32:08+00:00,Rinaimoutz,"Anies Baswedan Jahanam!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/g5zF5vcL0g"
2022-12-28 01:32:07+00:00,bungalotus25,@_tukangrosok @sapujagad_eyang @aniesbaswedan sabar bro 😝
2022-12-28 01:31:54+00:00,Rinaimoutz,"Anies Baswedan Keparat!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/dbVdA52Uwl"
2022-12-28 01:31:42+00:00,Rinaimoutz,"Anies Baswedan Babi!!!🤬🤬
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/RlBXdCrFOM"
2022-12-28 01:31:36+00:00,FibellAffishya,"@BosPurwa @aniesbaswedan Naahh.. soalnya, adakah parpol yg paham bahwa presiden itu bertanggung jawab atas kesejahteraan rakyatnya, bukan tentang keuntungan bagi partainya..? 

Parpol skrg udah kyk Agency2 yg mengeksploitasi Idol/Talent-nya."
